N,District,Price,Rooms,Totsp,Livesp,Kitsp,Brick,Floor,Nfloors,Dist,Metrdist,Walk,Bal,Tel,New
1,0,35584000,2,70.0,43.9,8.0,1,4,6,1.09,5,1,0,-,0
2,0,49000000,3,70.0,40.5,10.0,1,8,9,1.32,7,1,1,-,1
3,0,241316340,5,200.6,-,-,1,3,5,4.57,6,1,0,1,1
4,0,4585315,1,17.3,17.3,-,0,2,-,4.74,6,1,0,-,0
5,0,4814581,1,17.3,17.3,-,1,2,6,4.77,5,1,0,0,1
6,0,5496232,1,23.7,23.7,-,1,2,6,4.77,5,1,0,0,1
7,0,5500000,1,32.0,20.0,7.0,0,1,9,4.88,4,1,0,1,1
8,0,5550000,1,37.4,20.0,9.6,0,1,1,6.26,10,1,1,-,1
9,0,5999000,1,30.0,16.0,6.0,1,3,5,9.2,-,0,1,1,1
10,0,6000000,1,32.0,20.0,6.0,1,5,5,7.7,10,1,0,-,1
11,0,6000000,1,35.0,20.0,10.0,0,1,12,9.16,13,1,0,-,1
12,0,6000000,1,35.1,20.1,9.6,0,12,12,5.12,10,0,1,1,1
13,0,6100000,1,34.0,21.0,8.0,1,2,5,5.96,12,1,1,1,1
14,0,6100000,1,36.0,20.0,10.0,0,12,12,5.12,10,1,1,1,1
15,0,6285999,1,32.6,32.6,-,0,2,-,4.74,6,1,0,-,0
16,0,6300000,1,35.0,18.0,8.0,0,1,4,5.95,12,0,0,1,1
17,0,6325576,1,30.0,17.0,-,1,3,4,4.74,6,1,0,-,0
18,0,6325576,1,29.5,29.5,-,1,3,6,4.77,5,1,0,0,1
19,0,6467402,1,28.2,28.2,-,0,3,-,4.74,6,1,0,-,0
20,0,6500000,1,36.8,20.5,6.0,1,2,5,9.25,11,1,0,1,1
21,0,6597337,1,27.9,27.9,-,0,2,-,4.74,6,1,0,-,0
22,0,6600000,1,33.1,20.2,5.6,1,5,9,5.19,5,1,1,-,1
23,0,6600000,2,33.1,18.0,6.0,1,5,9,5.19,5,1,1,-,1
24,0,6600000,1,34.0,18.0,10.0,0,2,12,9.53,10,1,1,1,1
25,0,6750000,2,64.0,34.0,15.0,1,17,17,0.48,-,0,0,1,1
26,0,6800000,1,27.0,17.0,5.4,1,4,5,6.48,10,1,0,0,1
27,0,6800000,1,31.0,19.0,7.0,1,4,5,7.38,15,1,1,0,1
28,0,6850000,1,32.0,17.0,8.0,0,9,12,5.08,9,1,1,-,1
29,0,102241923,4,179.0,-,-,1,3,7,3.61,7,1,0,1,1
30,0,50485919,2,79.5,56.0,-,0,2,11,2.35,10,1,0,-,0
31,0,67102770,3,100.0,81.0,19.0,1,9,-,3.21,12,1,1,1,1
32,0,6900000,1,34.0,19.0,9.0,0,3,16,2.21,5,1,1,-,1
33,0,6934500,1,34.0,-,-,0,8,16,2.21,5,1,1,-,1
34,0,6998000,1,33.0,17.6,7.5,0,5,9,2.75,6,1,0,-,1
35,0,7000000,2,35.0,22.0,5.5,1,2,9,5.69,10,1,0,0,1
36,0,7000000,1,42.0,25.0,-,1,20,44,5.42,7,1,0,-,0
37,0,7000000,1,36.0,20.0,10.0,0,4,12,5.11,15,1,1,-,1
38,0,7021000,2,41.2,27.8,-,1,5,19,5.79,-,0,0,-,0
